NDA204384   00 3 6
NDA021342   01 4 6
NDA019034   02 1
NDA209388   03 1 7
NDA021116   04 4 6
NDA022165   05 0 3
NDA016620   06 2
NDA018279   07 0
BLA021149   08 0
BLA125390   09 4
NDA021433   10 0
NDA021912   11 0 4 5 6 7
NDA020068   12 1 6
NDA021777   13 5
NDA021821   14 1 5 8
NDA017808   15 0 1 2 3 
NDA210282   16 1 2 3 4
NDA022195   17 1 2
NDA018832   18 3 4 7 8 9 
BLA125469   19 0
NDA021710   20 0 1 3 4 5 6 7 9 10 
NDA022362   21 0 1
NDA021924   22 4 6
NDA021306   23 3
NDA021121   24 4 5 
BLA101246   25 2 
NDA217417   26 4 6
NDA021977   27 0 3 4 
